nom_ville_majus;nom_ville_reel;insee;cp;habitants
ABYMES;Abymes;97142;97101;58534
AIX-EN-PROVENCE;Aix-en-Provence;13080;13001;142700
AJACCIO;Ajaccio;20000;2A004;65200
AMIENS;Amiens;80000;80021;134400
ANGERS;Angers;49000;49007;148400
ANNECY;Annecy;74000;74010;50100
ANTIBES;Antibes;06600;06004;77000
ANTONY;Antony;92160;92002;61200
ARGENTEUIL;Argenteuil;95100;95018;103300
ARLES;Arles;13104;13004;52700
ASNIERES-SUR-SEINE;Asnières-sur-Seine;92600;92004;81700
AUBERVILLIERS;Aubervilliers;93300;93001;74500
AULNAY-SOUS-BOIS;Aulnay-sous-Bois;93600;93005;82200
AVIGNON;Avignon;84000;84007;90100
BEAUVAIS;Beauvais;60155;60057;55000
BELFORT;Belfort;90000;90010;50300
BESANCON;Besançon;25000;25056;117600
BEZIERS;Béziers;34500;34032;71700
BONDY;Bondy;93140;93010;53300
BORDEAUX;Bordeaux;33000;33063;235900
BOULOGNE-BILLANCOURT;Boulogne-Billancourt;92100;92012;112200
BOURGES;Bourges;18000;18033;69000
BREST;Brest;29200;29019;142100
CAEN;Caen;14000;14118;109900
CALAIS;Calais;62100;62193;74800
CANNES;Cannes;06400;06029;72900
CAYENNE;Cayenne;97300;97302;55753
CERGY;Cergy;95000;95127;56100
CHAMBERY;Chambéry;73000;73065;56800
CHAMPIGNY-SUR-MARNE;Champigny-sur-Marne;94500;94017;75100
CHARLEVILLE-MEZIERES;Charleville-Mézières;08090;08105;50900
CHELLES;Chelles;77500;77108;52800
CHOLET;Cholet;49280;49099;54100
CLAMART;Clamart;92140;92023;51400
CLERMONT-FERRAND;Clermont-Ferrand;63000;63113;139000
CLICHY;Clichy;92110;92024;58400
COLMAR;Colmar;68000;68066;66900
COLOMBES;Colombes;92700;92025;83700
COURBEVOIE;Courbevoie;92400;92026;85100
CRETEIL;Créteil;94000;94028;89300
DIJON;Dijon;21000;21231;151600
DRANCY;Drancy;93700;93029;66200
DUNKERQUE;Dunkerque;59140;59183;93600
EPINAY-SUR-SEINE;Épinay-sur-Seine;93800;93031;52700
EVREUX;Évreux;27000;27229;50800
EVRY;Évry;91090;91228;52500
FONTENAY-SOUS-BOIS;Fontenay-sous-Bois;94120;94033;52800
